id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18754945,Grandview Post-War Charmer,106768476,Tom And Sara,,West Olentangy,39.99114513289657,-83.03757081199475,Entire home/apt,120,2,58,2018-09-24,3.39,1,148
18768075,"Modern Ranch, WiFi, Garage, 55""TV, Roku, Huge Yard",33532441,Alex,,Eastmoor/Walnut Ridge,39.93760965998043,-82.91469190918039,Entire home/apt,95,2,41,2018-09-24,2.42,2,338
18772188,Urban Castle,46233986,Mark,,Downtown,39.965530583494896,-82.99820720560224,Entire home/apt,400,2,11,2018-09-10,1.49,1,170
18789244,3 bedroom/2 bath Ranch style home. Quiet & COZY,130329396,Elizabeth,,Far South,39.88755852941628,-82.92803485769262,Entire home/apt,94,2,3,2018-09-23,2.31,1,238
18789892,Eagle Nest,130779067,Elena,,Far North,40.1298501361794,-82.99079436476654,Private room,49,1,2,2018-09-14,1.28,1,86
18802242,Downtown Columbus Convenient & Relaxed Location!,117536730,Jason,,Near South,39.94619240040048,-82.97840880283388,Private room,34,1,27,2018-10-07,1.61,1,167
18842852,"Short North Cozy, Clean Studio.",99874408,Neriana,,Near North/University,39.97550483135341,-83.00236468907711,Entire home/apt,82,1,102,2018-10-03,6.27,1,151
18893274,Ramona's Hideaway,114371691,Tim,,Near East,39.95971440879208,-82.98013532349573,Private room,159,1,77,2018-10-07,5.02,1,162
18930516,Goodale Park Carriage House - heart of Short North,114502307,Jeff,,Near North/University,39.977038927498604,-83.0087565467836,Entire home/apt,109,1,134,2018-10-05,8.41,2,332
18975833,Spacious Bedroom and Private Ensuite Bathroom.,2872337,Ryan,,Near North/University,39.98636123263254,-83.00390473722197,Private room,45,1,94,2018-09-20,5.70,2,354
19011059,A quiet place to come home to…STUDENTS WELCOME!,131678330,Isabel,,Northland,40.07040075778781,-82.9848321060327,Private room,30,1,58,2018-10-07,3.50,1,64
19018449,Historic Victorian with all the Modern Amenities,76838231,Ashley,,Near South,39.95178292231253,-82.96795022087703,Entire home/apt,169,2,19,2018-09-13,1.15,1,295
19052130,Clintonville Spacious Basement w/ Private Entrance,132987777,Cory,,Clintonville,40.037221600826406,-83.01718095668605,Private room,50,1,59,2018-10-08,3.58,1,17
19071068,Central Italian Village/Short North Home,35241426,Kevin And Megan,,Near North/University,39.97968156591798,-82.9996432358548,Private room,130,1,21,2018-06-24,1.35,2,232
19072639,Private Room near OSU,61721336,Sandy,,Near North/University,40.01236659898167,-83.01183076946123,Private room,35,2,3,2018-06-21,0.19,4,3
19084533,Entire house in Short North steps from High Street,29506288,Eric,,Near North/University,39.97817667948845,-83.00390457842684,Entire home/apt,95,1,117,2018-10-03,7.09,6,74
19134607,The C.L.U.B (Centrally Located Urban BNB),133736445,Gail,,South Linden,40.00962885383227,-82.97099320688461,Entire home/apt,55,2,32,2018-10-01,2.22,1,310
19134827,Charming and quiet home in Merion Village,118405325,Patty,,Near South,39.93330312512337,-82.99099988711855,Private room,95,1,21,2018-08-26,1.29,1,0
19134865,Standard space near OSU,133741407,Frank,,South Linden,40.00242398759165,-82.98070089184394,Private room,220,5,1,2018-08-26,0.64,1,365
19138378,Clean & Fresh Private Bedroom OSU Campus,112939776,Evan,,Near North/University,40.010370800756114,-83.00469978340595,Private room,59,1,37,2018-09-23,2.30,2,170
19182076,Carriage House on Wall Street,134168758,Lainie,,Near South,39.94003657472697,-82.99828532494004,Entire home/apt,150,2,46,2018-10-07,2.93,2,349
19183032,Triple Private Room at the Hostel,4965048,Mathew,,Near North/University,40.012933887884245,-83.0023801436618,Private room,70,1,9,2018-08-27,0.79,7,323
19183954,Family Room at the Hostel,4965048,Mathew,,Near North/University,40.013529631601216,-83.00133612816302,Private room,113,1,4,2018-07-22,0.31,7,343
19246435,"Immaculate one bed, one bath Apartment",112939776,Evan,,Near North/University,40.013317025960646,-83.01321529096319,Entire home/apt,150,2,23,2018-05-20,1.46,2,130
19249742,Cottage Red Room onCity Park Loft w/Massage Chair,49421637,Jerry,,Hilltop,39.94541471189579,-83.08156262593589,Private room,38,1,106,2018-10-08,6.60,5,293
19264606,Bedroom and Private Bathroom,2872337,Ryan,,Near North/University,39.986615900188106,-83.00385776058998,Private room,69,1,58,2018-09-23,3.61,2,353
19267670,The White Squirrel Inn,73407226,Jeremy,,Near North/University,39.98229288927315,-83.01149309756718,Entire home/apt,125,2,72,2018-10-07,5.27,1,137
19304213,Quaint Getaway in AMAZING location,76395728,Derek,,Near North/University,39.980506470257545,-83.01217513067456,Entire home/apt,130,1,17,2018-09-03,1.06,1,98
19328258,Clintonville Charmer Room #2,80461847,Cameron,,Near North/University,40.012925658953634,-82.99953578926038,Private room,45,1,43,2018-09-17,2.95,2,273
19348897,Entire Olde Town East Condo,74068166,Dr. Leslie,,Near East,39.969008750140816,-82.97241345186669,Entire home/apt,78,1,54,2018-09-30,3.46,1,147
19362686,Cozy Two-Bedroom Home at Schiller Park,135282307,William,,Near South,39.94108349232667,-82.9934675870527,Entire home/apt,150,2,22,2018-09-30,1.42,1,16
19365515,Bright and airy 1 BDR Apartment close to Downtown,19532241,Tawana,,Near East,39.96423618013796,-82.9761142527032,Entire home/apt,85,1,8,2018-09-07,0.84,2,82
19412698,Perfect Short North Location - Steps to High St!,9152651,Jon,,Near North/University,39.98102656472654,-83.003754535077,Entire home/apt,125,1,70,2018-10-07,4.86,12,177
19413241,"Short North Town Home, Right off High Street",125943733,Joe,,Near North/University,39.986496913331386,-83.00526220797184,Entire home/apt,105,1,192,2018-10-09,12.52,4,274
19438854,Cozy home close to downtown and OSU,136287304,Brian,,West Scioto,39.989643463369994,-83.08783059492967,Private room,50,1,53,2018-09-15,4.32,1,80
19468469,4th Street Apartments 7,24032402,Eran,,Near North/University,40.00953656301073,-82.99809601919712,Entire home/apt,85,2,30,2018-09-02,1.96,3,256
19469926,Short North/Central Italian Village Home,35241426,Kevin And Megan,,Near North/University,39.9794397555596,-83.00122579626455,Entire home/apt,450,1,23,2018-09-30,1.67,2,337
19553528,Modern 1 bedroom apt in Heart of Short North!,137376859,Dan,,Near North/University,39.97898624117285,-82.9985119329284,Entire home/apt,115,1,44,2018-10-06,2.83,1,3
19585189,Quiet room in Short North/OSU area,21301647,Joe,,Near North/University,39.98935043964387,-83.01155381459697,Private room,48,1,18,2018-09-19,2.03,1,67
19609762,The Bait & Butter,137636781,Anthony,,Far North,40.13610316909642,-82.987950176973,Entire home/apt,85,2,38,2018-09-23,2.56,1,335
19612789,Red Room Ten Minutes from OSU,61721336,Sandy,,Near North/University,40.01127492561453,-83.01308752297811,Private room,35,3,3,2018-06-08,0.21,4,47
19619901,Private Room Near OSU D2,75437280,Azubair,,Near North/University,40.00695591259616,-83.00002166582448,Private room,41,1,86,2018-07-19,5.61,1,0
19656685,Private room in our home near OSU campus,4139952,William,,Near North/University,40.01019128985563,-82.99672574553314,Private room,35,1,14,2018-10-08,1.12,2,3
19679998,German Village area home,138599343,Thomas,,Near South,39.94302792682919,-82.98454961396781,Entire home/apt,32,7,9,2018-09-30,0.60,1,99
19680984,"Beautiful Contemporary Room,Private Bath,Dublin,OH",126844149,Johnny,,Hayden Run,40.06659641313269,-83.15055738097833,Private room,55,1,22,2018-06-23,1.49,1,73
19695611,Duncan Street Haven - Remodeled 2 Bedroom,49086324,Sharon,,Near North/University,40.01677706698352,-83.0086789946183,Entire home/apt,135,1,76,2018-10-08,5.55,1,148
19700416,Peaceful Room off I-71 @ I-270,93547897,Chantal-Marie,,Northland,40.10153124785167,-82.98167429230718,Private room,30,2,13,2018-09-25,0.92,2,14
19720249,Cozy Private Bdrm Near Old Hilliard,24012236,Cara,,Far West,40.00759823153773,-83.1491067457464,Private room,52,1,17,2018-08-19,1.14,1,258
19720570,Franklin Park Hideaway 1,49712589,Daniel,,Near East,39.96738575120246,-82.95542582350342,Entire home/apt,179,2,2,2017-09-10,0.14,1,8
19751630,"Cozy 2BR, 1.5Bath Home in Columbus",139335945,Samantha,,Westland,39.93749507886486,-83.16084996987144,Entire home/apt,60,1,31,2018-09-23,2.15,1,13
19781392,"Huge New German Village Getaway, Patio, & Fire Pit",9152651,Jon,,Near South,39.945099893202276,-82.98872559080232,Entire home/apt,125,1,75,2018-10-01,5.08,12,176
19811151,"Lovely  2 BR  by bike path, 2 miles to OSU",34871997,Kathy,,Clintonville,40.022658132600895,-83.01827397080665,Entire home/apt,95,2,43,2018-09-23,3.27,1,92
19813596,A Secluded and Tranquil City retreat,139974150,Evette,,West Scioto,39.996347144703186,-83.07845061830373,Private room,70,1,20,2018-08-15,1.49,2,89
19828526,Home away from home,139703297,Dorothy,,Northland,40.074523019508966,-82.95563245113911,Private room,35,2,23,2018-10-04,1.74,1,336
19840029,Historic Studio Loft - Prime Location,31798233,Sam,,Downtown,39.97353046569167,-83.00375846133238,Entire home/apt,145,1,89,2018-09-24,6.85,4,148
19856651,"SHORT NORTH APT, close Convention CNTR, OSU, DWTWN",29506288,Eric,,Near North/University,39.98061190510003,-83.0097186648786,Entire home/apt,65,1,118,2018-10-10,7.81,6,70
19859814,Studio with a View,103700433,Erin,,Downtown,39.9575645236336,-82.99389181581071,Entire home/apt,89,1,99,2018-10-07,7.46,3,63
19861283,Modern Condo  - Heart of Downtown,31798233,Sam,,Downtown,39.96370592123539,-82.99662294208471,Entire home/apt,150,2,12,2018-10-07,0.96,4,319
19862861,Doc's Retreat,1230733,Esther,,Near South,39.94625892321321,-82.97983744844413,Entire home/apt,65,14,9,2018-08-11,0.82,1,310
19886885,Hotel St. Clair - First Floor Bedroom - Twin Bed,140762279,Mike,,Near East,39.97288946794097,-82.97966759436665,Entire home/apt,75,1,58,2018-08-11,3.95,1,72
